日期,时间,纬度,经度,深度,震级,位置,Year
2016-11-30,20:04:33,22.78,121.39,11.3,5,台湾台东县海域,2016
2016-11-29,11:53:54,-0.2,125.71,30,5.1,马鲁古海,2016
2016-11-28,07:35:18,27.59,86.51,7.8,5.1,尼泊尔,2016
2016-11-26,17:23:24,39.14,74.26,6.5,5,新疆克孜勒苏州阿克陶县,2016
2016-11-25,22:24:30,39.27,74.04,10,6.7,新疆克孜勒苏州阿克陶县,2016
2016-11-25,22:18:58,39.19,73.91,4.1,4.8,新疆克孜勒苏州阿克陶县,2016
2016-11-25,15:48:31,13.38,120.39,70,4.5,菲律宾群岛地区,2016
2016-11-25,05:55:54,24.14,122.38,18.7,5.2,台湾花莲县海域,2016
2016-11-25,02:43:51,11.93,-88.9,30,6.9,中美洲沿岸远海,2016
2016-11-23,17:59:58,27.21,140.01,480,5.7,日本小笠原群岛地区,2016
2016-11-22,04:59:49,37.39,141.38,10,7.2,日本本州东岸近海,2016
2016-11-21,04:57:42,-31.63,-68.71,100,6.7,阿根廷,2016
2016-11-18,05:45:55,32.59,96.1,5,4.8,青海玉树州囊谦县,2016
2016-11-14,08:34:22,-42.6,173.3,10,6.2,新西兰,2016
2016-11-13,19:02:58,-42.53,173.05,10,8,新西兰,2016
2016-11-12,06:25:31,24.11,122.43,20.8,4.7,台湾花莲县海域,2016
2016-11-12,05:43:02,38.5,141.58,60,6,日本本州东岸近海,2016
2016-11-07,19:56:26,23.01,121.4,17.7,4.5,台湾台东县海域,2016
2016-10-30,14:40:20,42.9,13.1,10,6.6,意大利,2016
2016-10-27,03:18:08,42.9,13.05,10,6.1,意大利,2016
2016-10-25,12:45:51,22.71,121.36,10,4.8,台湾台东县海域,2016
2016-10-21,13:07:23,35.36,133.87,10,6.4,日本本州西部,2016
2016-10-19,08:26:01,-5.06,108.18,620,6.5,印尼爪哇海,2016
2016-10-17,15:14:49,32.81,94.93,9,6.2,青海玉树州杂多县,2016
2016-10-17,14:14:58,-6.02,148.81,50,6.8,新不列颠岛地区,2016
2016-10-12,09:39:26,13.56,120.75,120,4.8,菲律宾,2016
2016-10-06,23:51:59,22.6,121.38,20,5.9,台湾台东县海域,2016
2016-10-05,23:27:39,39.67,118.32,10,3,河北唐山市开平区,2016
2016-09-25,05:28:39,-19.74,-178.31,590,6.9,斐济群岛地区,2016
2016-09-25,05:07:13,-18.05,-175.15,180,6.4,汤加群岛,2016
2016-09-24,06:53:11,6.5,126.5,60,6.2,菲律宾棉兰老岛,2016
2016-09-23,08:14:33,34.5,141.7,10,6.4,日本本州东岸远海,2016
2016-09-23,01:23:11,30.1,99.61,16,5.1,四川甘孜州理塘县,2016
